job_id,job_title,job_category,company,city,experience,exp_min,exp_max,exp_bucket,skills,skill_count,posted_date,job_url,scraped_at
be9da026602a,Deep Learning Engineer,Deep Learning Engineer,Edhitch,Delhi,1-4 Yrs,1.0,4.0,0-2 Years (Fresher),Computer Vision | Deep Learning | Programming | Performance Optimization | NLP | Network Architecture | Python | Program,8,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-engineer-edhitch-com-new-delhi-1-to-4-years-191124505956,2026-06-03T20:43:39.434041
77778ae27112,Deep Learning Engineer,Deep Learning Engineer,Hackveda,Noida,1-4 Yrs,1.0,4.0,0-2 Years (Fresher),Computer Vision | Deep Learning | Neural Networks | Opencv | Artificial Intelligence | Automation Systems | Python | Networking,8,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-engineer-hackveda-noida-1-to-4-years-200320501512,2026-06-03T20:43:39.457505
d02c47ed3fee,Senior Software Engineer - Machine Learning and Computer Vision,Deep Learning Engineer,Agsure Innovations,Delhi,5-8 Yrs,5.0,8.0,3-5 Years (Mid),Computer Science | Cloud Computing | Computer Vision | Deep Learning | Neural Networks | Artificial Intelligence | Machine Learning,7,3+ weeks ago,https://www.naukri.com/job-listings-senior-software-engineer-machine-learning-and-computer-vision-agsure-innovations-new-delhi-5-to-8-years-230924502475,2026-06-03T20:43:39.458505
277e2c982fd9,Software Engineer (Machine Learning),Data Scientist,Perfect Intelligent Systems,Delhi,1-5 Yrs,1.0,5.0,0-2 Years (Fresher),Computer Vision | C++ | Development | Technical | Telecommunication | Developing | Linux,7,3+ weeks ago,https://www.naukri.com/job-listings-software-engineer-machine-learning-perfect-intelligent-systems-delhi-1-to-5-years-311218501758,2026-06-03T20:43:39.464506
3c50ada6555c,Deep Learning Machine Learning Engineer,Deep Learning Engineer,Samatrix Consulting,Gurgaon,2-4 Yrs,2.0,4.0,0-2 Years (Fresher),Deep Learning | Machine Learning | Programming | Application Development | Python | Application | Program | Machine,8,3+ weeks ago,https://www.naukri.com/job-listings-deep-learning-machine-learning-engineer-samatrix-consulting-private-limited-gurgaon-2-to-4-years-160320502815,2026-06-03T20:43:39.467962
9ddd8ff2d3c9,Senior AI Engineer - Machine Learning,AI Engineer,ZS,Gurgaon,4-9 Yrs,4.0,9.0,3-5 Years (Mid),Ai Engineer | Management Consulting | Python | Cloud Services | Scala | Airflow | Ai | Machine Learning,8,3+ weeks ago,https://www.naukri.com/job-listings-senior-ai-engineer-machine-learning-zs-associates-india-pvt-ltd-gurugram-bengaluru-4-to-9-years-050526940665,2026-06-03T20:43:39.469949
d8d9580238a3,AI Software Engineer,Data Scientist,Godigi Infotech,Delhi,0-1 Yrs,0.0,1.0,0-2 Years (Fresher),Analytical Skills | C++ | Artificial Intelligence | Machine Learning | Programming | Javascript | Php | Matlab,8,6 days ago,https://www.naukri.com/job-listings-ai-software-engineer-godigi-infotech-new-delhi-0-to-1-years-280526501975,2026-06-03T20:43:39.473958
1960a6b14af5,Computer Vision Engineer,Deep Learning Engineer,IIT Mandi Ihub And Hci Foundation,Delhi,0-3 Yrs,0.0,3.0,0-2 Years (Fresher),Computer Vision | Algorithms | Python | C++ | NLP | Neural Networks | Machine Learning | Video Processing,8,1 week ago,https://www.naukri.com/job-listings-computer-vision-engineer-iit-mandi-ihub-and-hci-foundation-new-delhi-0-to-3-years-210526502646,2026-06-03T20:43:39.474957
83f36c3d3087,Data Engineer-Machine Learning,Data Engineer,IBM,Gurgaon,8-10 Yrs,8.0,10.0,6-10 Years (Senior),Data Engineer | Algorithms | Data Analysis | NLP | Computer Vision | Algorithm Development | Visualization Tools | Data Visualization,8,1 week ago,https://www.naukri.com/job-listings-data-engineer-machine-learning-ibm-india-pvt-limited-gurugram-8-to-10-years-250526916656,2026-06-03T20:43:39.479648
0903937b245b,Deep Learning Engineer,Deep Learning Engineer,Actalent Services,Chennai,1-4 Yrs,1.0,4.0,0-2 Years (Fresher),3D Deep Learning | Cnn | Neural Networks | Computer Vision | Machine Learning | 3D | Computer | Vision,8,5 days ago,https://www.naukri.com/job-listings-deep-learning-engineer-actalent-services-chennai-1-to-4-years-290526005501,2026-06-03T20:43:49.111254
